game_id,season,week,gameday,home_team,away_team,home_score,away_score,home_pass_yds,home_pass_cmp,home_pass_att,away_pass_yds,away_pass_cmp,away_pass_att,home_moneyline,away_moneyline,home_off_epa_per_play,home_off_cpoe,home_def_epa_per_play,away_off_epa_per_play,away_off_cpoe,away_def_epa_per_play,home_roll_pts_scored,home_roll_pts_allowed,home_roll_off_epa,home_roll_def_epa,home_roll_off_cpoe,away_roll_pts_scored,away_roll_pts_allowed,away_roll_off_epa,away_roll_def_epa,away_roll_off_cpoe,home_roll_passing_yards,home_roll_rushing_yards,home_roll_completion_pct,home_roll_net_yds_per_play,away_roll_passing_yards,away_roll_rushing_yards,away_roll_completion_pct,away_roll_net_yds_per_play,diff_pts_scored,diff_pts_allowed,diff_pass_yds,diff_rush_yds,diff_comp_pct,diff_net_yds_play,diff_off_epa,diff_def_epa,diff_off_cpoe
2023_01_LA_SEA,2023,1,2023-09-10,SEA,LA,13,30,112,16,26,334,24,38,-218,180,-0.0376355332073559,-1.2529852489630382,0.2537183017056319,0.2537183017056319,-0.4259261730554941,-0.0376355332073559,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_DAL_NYG,2023,1,2023-09-10,NYG,DAL,0,40,110,17,30,143,13,25,142,-170,-0.4270933226199742,-11.623894397554729,0.1454205570413164,0.1454205570413164,-11.235527753829956,-0.4270933226199742,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_BUF_NYJ,2023,1,2023-09-11,NYJ,BUF,22,16,140,14,22,236,29,41,114,-135,-0.0298907957995562,6.418682138125102,-0.0791738219169201,-0.0791738219169201,7.830620079468458,-0.0298907957995562,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_02_MIN_PHI,2023,2,2023-09-14,PHI,MIN,34,28,193,18,23,364,31,44,-238,195,0.0996305657278954,13.259256427938288,0.0816539285156538,0.0816539285156538,8.187004646589589,0.0996305657278954,25.0,20.0,-0.134385958795428,-0.2012736714796104,8.096699515978495,17.0,20.0,-0.0989027725657624,-0.1044629679643963,4.992012476379221,170.0,97.0,0.6666666666666666,4.377049180327869,344.0,41.0,0.75,6.111111111111111,8.0,0.0,-174.0,56.0,-0.08333333333333337,-1.7340619307832421,-0.035483186229665606,0.09681070351521409,3.1046870395992734
2023_02_GB_ATL,2023,2,2023-09-17,ATL,GB,25,24,237,19,32,151,14,25,-148,124,0.0968017257378708,-4.0856218338012695,0.1914857036155423,0.1914857036155423,-11.872460126876833,0.0968017257378708,24.0,10.0,-0.1389357985336463,-0.2586715095325469,6.426090333196852,38.0,20.0,0.155701356920238,-0.1762967523723666,-5.516260862350464,115.0,130.0,0.8333333333333334,5.104166666666667,245.0,92.0,0.5555555555555556,5.616666666666666,-14.0,10.0,-130.0,38.0,0.2777777777777778,-0.5124999999999993,-0.2946371554538843,0.0823747571601803,11.942351195547316
2023_02_LV_BUF,2023,2,2023-09-17,BUF,LV,38,10,274,31,37,185,16,24,-355,280,0.3155200539698375,15.094337943527432,-0.2263066553246508,-0.2263066553246508,3.0552818723346875,0.3155200539698375,16.0,22.0,-0.0791738219169201,-0.0298907957995562,7.830620079468458,17.0,16.0,0.1726841686936748,0.0713344994000438,13.071728211182814,236.0,97.0,0.7073170731707317,4.897058823529412,200.0,61.0,0.7692307692307693,4.745454545454545,-1.0,-6.0,36.0,36.0,-0.061913696060037604,0.15160427807486698,-0.2518579906105949,0.1012252951996,-5.2411081317143555
2023_02_BAL_CIN,2023,2,2023-09-17,CIN,BAL,24,27,222,27,41,237,24,33,-175,145,0.0456348479361929,2.3667219357612805,0.2245900318069009,0.2245900318069009,5.829548022963784,0.0456348479361929,3.0,24.0,-0.4114458267363066,-0.1458974134639627,-18.79459100384866,25.0,9.0,-0.0401951538159786,-0.2928440593662552,11.384226026989165,82.0,75.0,0.4375,2.9074074074074074,169.0,110.0,0.7727272727272727,4.810344827586207,-22.0,-15.0,-87.0,-35.0,-0.3352272727272727,-1.9029374201787999,-0.371250672920328,-0.14694664590229248,-30.178817030837823
2023_02_SEA_DET,2023,2,2023-09-17,DET,SEA,31,37,323,28,35,328,32,41,-218,180,-0.0326153520716705,13.078247624285082,0.2184443567772619,0.2184443567772619,15.731876927453118,-0.0326153520716705,21.0,20.0,0.0258826194113857,-0.1184697878528169,-0.1157089136540889,13.0,30.0,-0.0376355332073559,0.2537183017056319,-1.2529852489630382,253.0,118.0,0.6285714285714286,5.3,112.0,85.0,0.6153846153846154,4.282608695652174,8.0,10.0,141.0,33.0,0.01318681318681314,1.017391304347826,0.06351815261874161,0.37218808955844884,1.1372763353089492
2023_02_IND_HOU,2023,2,2023-09-17,HOU,IND,20,31,384,30,47,227,25,33,-110,-110,-0.0031616519356207,1.6159686931343966,0.2305556871736968,0.2305556871736968,6.7277966007109615,-0.0031616519356207,9.0,25.0,-0.2928440593662552,-0.0401951538159786,-4.56968767698421,21.0,31.0,-0.3730805300114702,-0.2437002117680583,-10.716709647423182,242.0,72.0,0.6363636363636364,4.361111111111111,223.0,65.0,0.6153846153846154,4.173913043478261,-12.0,6.0,19.0,7.0,0.020979020979020935,0.18719806763284996,0.080236470645215,-0.2035050579520797,6.1470219704389715
2023_02_KC_JAX,2023,2,2023-09-17,JAX,KC,9,17,215,23,42,305,29,41,142,-170,-0.2586041783395265,-12.099692225456238,0.1027659046146582,0.1027659046146582,3.813619501888752,-0.2586041783395265,31.0,21.0,-0.2437002117680583,-0.3730805300114702,5.192238278687,20.0,21.0,-0.1184697878528169,0.0258826194113857,-6.2199960286552844,241.0,105.0,0.75,5.0144927536231885,226.0,90.0,0.5384615384615384,5.096774193548387,11.0,0.0,15.0,15.0,0.21153846153846156,-0.08228143992519854,-0.12523042391524142,0.3989631494228559,11.412234307342285
